,Date,User,Tweet
0,2022-08-09 23:30:12+00:00,guricitynews,"〔💡 2050 탄소중립 아이디어 경진대회〕

🖤 슬로건 🖤
모두가 행복한 우리 마을
ACE(Air, Climate, Energy) 만들기

🧑👩 참가대상
탄소중립에 관심있는
전국 공동체 및 소모임 (팀단위)

🕑 접수기간
2022.8.2.(화) ~ 8.21.(일) 24:00까지

🔍 문의
구리시 환경과 기후대응팀
☎031-550-2325 https://t.co/ivjiuPMBEk"
1,2022-08-09 08:29:14+00:00,sunflowerrrr778,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/dz6Xd06AIA s4lbW"
2,2022-08-09 07:51:33+00:00,perfectcrosss,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/GUw8gZp27V gyMQv"
3,2022-08-09 06:44:03+00:00,hotdealenjoy,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/aLccF9x3K0 FGDsX"
4,2022-08-09 04:51:17+00:00,sweetmangouuu,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/c7izBNZECc fv2dM"
5,2022-08-09 03:49:14+00:00,sunflowerrrr778,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/W9essieleF QuFyi"
6,2022-08-09 00:23:33+00:00,perfectcrosss,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/pMkihFb78x 2qEvr"
7,2022-08-08 23:14:02+00:00,hotdealenjoy,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/Y7yI5Exu0o OpKBh"
8,2022-08-08 21:19:17+00:00,sweetmangouuu,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/V1Q2MARC5o P5i0V"
9,2022-08-08 21:14:44+00:00,hwangeunyoung15,"[경제]
BNK금융그룹, 탄소중립 선언…2050년까지  넷제로  달성
219
https://t.co/RnZe2VcMQj"
10,2022-08-08 20:17:13+00:00,sunflowerrrr778,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/dz6Xd0nDKA Dd8aO"
11,2022-08-08 08:59:26+00:00,MagazineR_,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/0oYaZyl4uh"
12,2022-08-08 05:59:19+00:00,MagazineR_,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/O0TdL2nEsH"
13,2022-08-08 02:32:02+00:00,klri_bot,[연구보고서] 모빌리티 배터리 사후관리 규제개선 방안 연구: Ⅰ. 배경 및 필요성▶ 우리나라는 지금까지 기후변화 문제에 대응하기 위하여 노력○ 2020년 10월 ‘2050년 까지 탄소중립을 달성’하겠다고 선언한 이후 2020년 말 제1차 NDC(Nationally Determinde… https://t.co/rkNXS8187M
14,2022-08-07 14:50:42+00:00,Das_Apfel_G,그래이트 배리어 산호초가 회복 조짐을 보임에 따라 호주 정부는 2030년까지 탄소배출을 43%(2005년 수준)으로 줄이는 법안을 통과시키려 합니다. 이 법안은 2050년까지 탄소 중립을 실현한단 목표를 담고 있습니다.  https://t.co/vGoHFtdYRt
15,2022-08-07 08:18:02+00:00,baguseog10,"[newstomorrow] 예산군새마을회, ‘2050 탄소중립 캠페인’ 개최 https://t.co/3lI2yz3Ogr"
16,2022-08-05 21:25:25+00:00,M6KIoLEVpDQHXnc,"[newstomorrow] 예산군새마을회, ‘2050 탄소중립 캠페인’ 개최 https://t.co/wXx7aY9ux9"
17,2022-08-05 13:09:35+00:00,dasom_la,고기가 최고라던 아이들도 채식 급식 맛있네요(인천 창영초등학교 2050년 탄소중립 실천) https://t.co/CGLQ84wvnC
18,2022-08-05 10:03:14+00:00,sunflowerrrr778,"포스코, 수소환원제철 시험설비 설계 착수···2050 탄소중립 첫발 https://t.co/aEyubA50Ot uSO68"
19,2022-08-05 07:36:01+00:00,hotdealenjoy,"포스코, 수소환원제철 플랜트로 ‘2050 탄소중립’ 박차 https://t.co/YTxjc3hA9L YuGm4"
20,2022-08-05 06:27:05+00:00,kecotwt,"#한국환경공단 #미로 #탈출 #이벤트 당첨자 발표

자세한 내용 보러 가기 ▶ https://t.co/aJYVsVzlSh

푸루와 탄소중립 실현 #가보자고 ! 👊
2050 탄소중립 실현을 위해 준비한 친환경 미로 탈출 이벤트!
그 대망의 당첨자를 발표합니다 🥰 https://t.co/nfzMpIqq3P"
21,2022-08-05 04:33:13+00:00,sunflowerrrr778,"포스코, 수소환원제철 플랜트로 ‘2050 탄소중립’ 박차 https://t.co/VNP9LdTws8 1YVuI"
22,2022-08-04 19:42:52+00:00,naeagara,"포스코, 수소환원제철 데모플랜트 상용화 첫발
英 프라이메탈스와 기술협력
파이넥스 기술 기반 설계 착수
단계적 적용…2050년 탄소중립
2030년까지 수소환원제철 상용화가능성 검증
이후 생산 최적화를 거쳐 고로를 단계적으로 
하이렉스 기반 설비로 교체…2050년 탄소중립
https://t.co/0orin86wqh https://t.co/4zupZp1njV"
